Edge Label, Good, Fisher Prices, New Prices, Capacity
e1: V001_1_dep, V002_6_arr, 0.0, 0.0, 3.0

e2: V001_1_dep, V003_5_arr, 0.0, 0.0, 2.0

e3: V001_1_dep, V004_9_arr, 0.0, 0.0, 3.0

e4: V001_1_dep, V005_22_arr, 0.0, 0.0, 4.0

e5: V001_1_dep, V006_22_arr, 0.0, 0.0, 2.0

e6: V001_1_dep, V007_43_arr, 0.0, 0.0, 4.0

e7: V001_1_arr, V001_1, 0.0, 0.0, 1.0

e8: V001_1, V001_1_dep, 0.0, 0.0, 5.0

e9: V001_1, V001_2, 0.0, 0.0, 8.0

e10: V001_2, V001_2_dep, 0.0, 0.0, 5.0

e11: V001_2, V001_3, 0.0, 0.0, 8.0

e12: V002_1_dep, V001_6_arr, 0.0, 0.0, 3.0

e13: V002_1_dep, V003_9_arr, 0.0, 0.0, 2.0

e14: V002_1_dep, V004_10_arr, 0.0, 0.0, 4.0

e15: V002_1_dep, V005_22_arr, 0.0, 0.0, 3.0

e16: V002_1_dep, V006_25_arr, 0.0, 0.0, 2.0

e17: V002_1_dep, V007_39_arr, 0.0, 0.0, 2.0

e18: V002_1_arr, V002_1, 0.0, 0.0, 2.0

e19: V002_1, V002_1_dep, 0.0, 0.0, 2.0

e20: V002_1, V002_2, 0.0, 0.0, 8.0

e21: V002_2, V002_2_dep, 0.0, 0.0, 2.0

e22: V002_2, V002_3, 0.0, 0.0, 8.0

e23: V003_1_dep, V001_5_arr, 0.0, 0.0, 3.0

e24: V003_1_dep, V002_9_arr, 0.0, 0.0, 2.0

e25: V003_1_dep, V004_8_arr, 0.0, 0.0, 3.0

e26: V003_1_dep, V005_25_arr, 0.0, 0.0, 3.0

e27: V003_1_dep, V006_23_arr, 0.0, 0.0, 5.0

e28: V003_1_dep, V007_45_arr, 0.0, 0.0, 4.0

e29: V003_1_arr, V003_1, 0.0, 0.0, 3.0

e30: V003_1, V003_1_dep, 0.0, 0.0, 1.0

e31: V003_1, V003_2, 0.0, 0.0, 8.0

e32: V003_2, V003_2_dep, 0.0, 0.0, 1.0

e33: V003_2, V003_3, 0.0, 0.0, 8.0

e34: V004_1_dep, V001_9_arr, 0.0, 0.0, 4.0

e35: V004_1_dep, V002_10_arr, 0.0, 0.0, 5.0

e36: V004_1_dep, V003_8_arr, 0.0, 0.0, 3.0

e37: V004_1_dep, V005_29_arr, 0.0, 0.0, 4.0

e38: V004_1_dep, V006_29_arr, 0.0, 0.0, 5.0

e39: V004_1_dep, V007_40_arr, 0.0, 0.0, 5.0

e40: V004_1_arr, V004_1, 0.0, 0.0, 1.0

e41: V004_1, V004_1_dep, 0.0, 0.0, 5.0

e42: V004_1, V004_2, 0.0, 0.0, 8.0

e43: V004_2, V004_2_dep, 0.0, 0.0, 5.0

e44: V004_2, V004_3, 0.0, 0.0, 8.0

e45: V005_1_dep, V001_22_arr, 0.0, 0.0, 4.0

e46: V005_1_dep, V002_22_arr, 0.0, 0.0, 2.0

e47: V005_1_dep, V003_25_arr, 0.0, 0.0, 2.0

e48: V005_1_dep, V004_29_arr, 0.0, 0.0, 3.0

