Auction Time,Edge Label,Good,Fisher Prices,New Prices,Capacity
1,e1,"V002_1_arr, V002_1",0.0,0.0,1.0
1,e2,"V002_1, V002_1_dep",0.0,0.0,5.0
1,e3,"V002_1, V002_2",0.0,0.0,8.0
1,e4,"V002_2, V002_2_dep",0.0,0.0,5.0
1,e5,"V002_2, V002_3",0.0,0.0,8.0
1,e6,"V003_1_dep, V006_23_arr",0.0,0.0,4.0
1,e7,"V003_1_arr, V003_1",0.0,0.0,2.0
1,e8,"V003_1, V003_1_dep",0.0,0.0,1.0
1,e9,"V003_1, V003_2",0.0,0.0,7.0
1,e10,"V003_2, V003_2_dep",0.0,0.0,1.0
1,e11,"V003_2, V003_3",0.0,0.0,7.0
1,e12,"V007_1_dep, V002_39_arr",0.0,0.0,3.0
1,e13,"V007_1_arr, V007_1",0.0,0.0,1.0
1,e14,"V007_1, V007_1_dep",0.0,0.0,2.0
1,e15,"V007_1, V007_2",0.0,0.0,7.0
1,e16,"V007_2, V007_2_dep",0.0,0.0,2.0
1,e17,"V007_2, V007_3",0.0,0.0,7.0
1,e18,"V006_1_arr, V006_1",0.0,0.0,1.0
1,e19,"V006_1, V006_1_dep",0.0,0.0,4.0
1,e20,"V006_1, V006_2",0.0,0.0,8.0
1,e21,"V006_2, V006_2_dep",0.0,0.0,4.0
1,e22,"V006_2, V006_3",0.0,0.0,8.0
1,e23,"V001_1_dep, V002_6_arr",0.0,0.0,3.0
1,e24,"V001_1_arr, V001_1",0.0,0.0,2.0
1,e25,"V001_1, V001_1_dep",0.0,0.0,1.0
1,e26,"V001_1, V001_2",0.0,0.0,7.0
1,e27,"V001_2, V001_2_dep",0.0,0.0,1.0
1,e28,"V001_2, V001_3",0.0,0.0,7.0
1,e29,"V002_2_arr, V002_2",0.0,0.0,1.0
1,e30,"V002_3, V002_3_dep",0.0,0.0,5.0
1,e31,"V002_3, V002_4",0.0,0.0,8.0
1,e32,"V003_2_dep, V006_24_arr",0.0,0.0,4.0
1,e33,"V003_2_arr, V003_2",0.0,0.0,2.0
1,e34,"V003_3, V003_3_dep",0.0,0.0,1.0
1,e35,"V003_3, V003_4",0.0,0.0,7.0
1,e36,"V007_2_dep, V002_40_arr",0.0,0.0,3.0
1,e37,"V007_2_arr, V007_2",0.0,0.0,1.0
1,e38,"V007_3, V007_3_dep",0.0,0.0,2.0
1,e39,"V007_3, V007_4",0.0,0.0,7.0
1,e40,"V006_2_arr, V006_2",0.0,0.0,1.0
1,e41,"V006_3, V006_3_dep",0.0,0.0,4.0
1,e42,"V006_3, V006_4",0.0,0.0,8.0
1,e43,"V001_2_dep, V002_7_arr",0.0,0.0,3.0
1,e44,"V001_2_arr, V001_2",0.0,0.0,2.0
1,e45,"V001_3, V001_3_dep",0.0,0.0,1.0
1,e46,"V001_3, V001_4",0.0,0.0,7.0
1,e47,"V002_3_arr, V002_3",0.0,0.0,1.0
1,e48,"V002_4, V002_4_dep",0.0,0.0,5.0
1,e49,"V002_4, V002_5",0.0,0.0,8.0
1,e50,"V003_3_dep, V006_25_arr",0.0,0.0,4.0
1,e51,"V003_3_arr, V003_3",0.0,0.0,2.0
1,e52,"V003_4, V003_4_dep",0.0,0.0,1.0
1,e53,"V003_4, V003_5",0.0,0.0,7.0
1,e54,"V007_3_dep, V002_41_arr",0.0,0.0,3.0
1,e55,"V007_3_arr, V007_3",0.0,0.0,1.0
1,e56,"V007_4, V007_4_dep",0.0,0.0,2.0
1,e57,"V007_4, V007_5",0.0,0.0,7.0
1,e58,"V006_3_arr, V006_3",0.0,0.0,1.0
1,e59,"V006_4, V006_4_dep",0.0,0.0,4.0
1,e60,"V006_4, V006_5",0.0,0.0,8.0
1,e61,"V001_3_dep, V002_8_arr",0.0,0.0,3.0
1,e62,"V001_3_arr, V001_3",0.0,0.0,2.0
1,e63,"V001_4, V001_4_dep",0.0,0.0,1.0
1,e64,"V001_4, V001_5",0.0,0.0,7.0
1,e65,"V002_4_arr, V002_4",0.0,0.0,1.0
1,e66,"V002_5, V002_5_dep",0.0,0.0,5.0
1,e67,"V002_5, V002_6",0.0,0.0,8.0
1,e68,"V003_4_dep, V006_26_arr",0.0,0.0,4.0
1,e69,"V003_4_arr, V003_4",0.0,0.0,2.0
1,e70,"V003_5, V003_5_dep",0.0,0.0,1.0
1,e71,"V003_5, V003_6",0.0,0.0,7.0
1,e72,"V007_4_dep, V002_42_arr",0.0,0.0,3.0
1,e73,"V007_4_arr, V007_4",0.0,0.0,1.0
1,e74,"V007_5, V007_5_dep",0.0,0.0,2.0
1,e75,"V007_5, V007_6",0.0,0.0,7.0
1,e76,"V006_4_arr, V006_4",0.0,0.0,1.0
1,e77,"V006_5, V006_5_dep",0.0,0.0,4.0
1,e78,"V006_5, V006_6",0.0,0.0,8.0
1,e79,"V001_4_dep, V002_9_arr",0.0,0.0,3.0
1,e80,"V001_4_arr, V001_4",0.0,0.0,2.0
1,e81,"V001_5, V001_5_dep",0.0,0.0,1.0
1,e82,"V001_5, V001_6",0.0,0.0,7.0
1,e83,"V002_5_arr, V002_5",0.0,0.0,1.0
1,e84,"V002_6, V002_6_dep",0.0,0.0,5.0
1,e85,"V002_6, V002_7",0.0,0.0,8.0
1,e86,"V003_5_dep, V006_27_arr",0.0,0.0,4.0
1,e87,"V003_5_arr, V003_5",0.0,0.0,2.0
1,e88,"V003_6, V003_6_dep",0.0,0.0,1.0
1,e89,"V003_6, V003_7",0.0,0.0,7.0
1,e90,"V007_5_dep, V002_43_arr",0.0,0.0,3.0
1,e91,"V007_5_arr, V007_5",0.0,0.0,1.0
1,e92,"V007_6, V007_6_dep",0.0,0.0,2.0
1,e93,"V007_6, V007_7",0.0,0.0,7.0
1,e94,"V006_5_arr, V006_5",0.0,0.0,1.0
1,e95,"V006_6, V006_6_dep",0.0,0.0,4.0
1,e96,"V006_6, V006_7",0.0,0.0,8.0
1,e97,"V001_5_dep, V002_10_arr",0.0,0.0,3.0
1,e98,"V001_5_arr, V001_5",0.0,0.0,2.0
1,e99,"V001_6, V001_6_dep",0.0,0.0,1.0
1,e100,"V001_6, V001_7",0.0,0.0,7.0
1,e101,"V002_6_arr, V002_6",0.0,0.0,1.0
1,e102,"V002_7, V002_7_dep",0.0,0.0,5.0
1,e103,"V002_7, V002_8",0.0,0.0,8.0
1,e104,"V003_6_dep, V006_28_arr",0.0,0.0,4.0
1,e105,"V003_6_arr, V003_6",0.0,0.0,2.0
1,e106,"V003_7, V003_7_dep",0.0,0.0,1.0
1,e107,"V003_7, V003_8",0.0,0.0,7.0
1,e108,"V007_6_dep, V002_44_arr",0.0,0.0,3.0
1,e109,"V007_6_arr, V007_6",0.0,0.0,1.0
1,e110,"V007_7, V007_7_dep",0.0,0.0,2.0
1,e111,"V007_7, V007_8",0.0,0.0,7.0
1,e112,"V006_6_arr, V006_6",0.0,0.0,1.0
1,e113,"V006_7, V006_7_dep",0.0,0.0,4.0
1,e114,"V006_7, V006_8",0.0,0.0,8.0
1,e115,"V001_6_dep, V002_11_arr",0.0,0.0,3.0
1,e116,"V001_6_arr, V001_6",0.0,0.0,2.0
1,e117,"V001_7, V001_7_dep",0.0,0.0,1.0
1,e118,"V001_7, V001_8",0.0,0.0,7.0
1,e119,"V002_7_arr, V002_7",0.0,0.0,1.0
1,e120,"V002_8, V002_8_dep",0.0,0.0,5.0
1,e121,"V002_8, V002_9",0.0,0.0,8.0
1,e122,"V003_7_dep, V006_29_arr",0.0,0.0,4.0
1,e123,"V003_7_arr, V003_7",0.0,0.0,2.0
1,e124,"V003_8, V003_8_dep",0.0,0.0,1.0
1,e125,"V003_8, V003_9",0.0,0.0,7.0
1,e126,"V007_7_dep, V002_45_arr",0.0,0.0,3.0
1,e127,"V007_7_arr, V007_7",0.0,0.0,1.0
