Agent,Mod. Budget,Ori. Budget,Valuation,"(O,D)",Desired Departure (ts),Allocation (ts),Price,Rebased Allocation
AC004,479.612793738961,100,150,"('V001', 'V002')",13,,0.0,True
AC005,458.97240530483475,125,155,"('V007', 'V002')",15,"('V007_15_dep', 'V002_53_arr')",10.822269271482664,False
AC008,452.2307445555176,69,171,"('V003', 'V006')",20,"('V003_21_dep', 'V006_43_arr')",12.124396227945741,False
AC001,302.01352828419255,162,175,"('V002', 'V007')",23,"('V002_24_dep', 'V007_62_arr')",36.56380114777519,False
AC002,319.87269022500175,149,180,"('V007', 'V002')",21,"('V007_22_dep', 'V002_60_arr')",28.65203097319151,False
AC003,301.5330155870214,168,168,"('V001', 'V003')",23,"('V001_27_dep', 'V003_31_arr')",15.223397387349884,False
AC004,190.28640333881026,100,150,"('V001', 'V002')",22,"('V001_26_dep', 'V002_31_arr')",47.23129988278585,False
AC011,366.94493634887385,175,160,"('V004', 'V001')",21,"('V004_22_dep', 'V001_30_arr')",6.043512881135054,False
AC006,193.78768808485933,81,189,"('V005', 'V004')",24,"('V005_25_dep', 'V004_53_arr')",1.9845960335202895,False
AC007,282.26815373461426,123,158,"('V003', 'V007')",39,"('V003_42_dep', 'V007_86_arr')",13.864581031654618,False
AC009,278.9782478699549,121,169,"('V002', 'V006')",33,"('V002_36_dep', 'V006_60_arr')",14.033557296254479,False
AC010,329.6517523958149,174,167,"('V004', 'V002')",35,"('V004_37_dep', 'V002_46_arr')",1.4004855761383233,False
AC012,228.63738689535958,116,150,"('V005', 'V003')",30,"('V005_30_dep', 'V003_54_arr')",1.9077797350710668,False
