Agent,Mod. Budget,Ori. Budget,Valuation,"(O,D)",Desired Departure (ts),Allocation (ts),Price,Rebased Allocation
AC004,465.623049490464,100,150,"('V001', 'V002')",13,"('V001_14_dep', 'V002_19_arr')",10.725883896060008,False
AC005,435.0146923732625,125,71,"('V007', 'V002')",15,,0.0,True
AC008,434.5788067249134,69,106,"('V003', 'V006')",20,"('V003_20_dep', 'V006_42_arr')",22.026419085139146,False
AC001,325.27441506669726,162,175,"('V002', 'V007')",23,"('V002_24_dep', 'V007_62_arr')",31.253759344817787,False
AC002,247.364817567787,149,76,"('V007', 'V002')",21,"('V007_23_dep', 'V002_61_arr')",42.47350531231533,False
AC003,334.0020947548111,168,80,"('V001', 'V003')",23,"('V001_25_dep', 'V003_29_arr')",0.9887477784340309,False
AC005,221.81225751439322,125,71,"('V007', 'V002')",22,"('V007_22_dep', 'V002_60_arr')",46.14464076850677,False
AC011,359.79516413358937,175,77,"('V004', 'V001')",21,"('V004_21_dep', 'V001_29_arr')",5.592269549165118,False
AC006,282.2401323700851,81,189,"('V005', 'V004')",24,"('V005_25_dep', 'V004_53_arr')",0.0,False
AC007,368.5976855308586,123,138,"('V003', 'V007')",39,"('V003_40_dep', 'V007_84_arr')",7.160809957714456,False
AC009,382.769796767888,121,94,"('V002', 'V006')",33,"('V002_34_dep', 'V006_58_arr')",9.989654415337297,False
AC010,423.1961020099241,174,133,"('V004', 'V002')",35,"('V004_37_dep', 'V002_46_arr')",0.7544906413048125,False
AC012,314.6524514983947,116,77,"('V005', 'V003')",30,"('V005_30_dep', 'V003_54_arr')",0.0,False
