Agent,Mod. Budget,Ori. Budget,Valuation,"(O,D)",Desired Departure (ts),Allocation (ts),Price,Rebased Allocation
AC004,255.14068152410965,100,150,"('V001', 'V002')",13,"('V001_13_dep', 'V002_18_arr')",23.52653894160018,False
AC005,265.19191695135913,125,155,"('V007', 'V002')",15,"('V007_15_dep', 'V002_53_arr')",16.797789270710947,False
AC008,223.91447801454132,69,171,"('V003', 'V006')",20,,0.0,True
AC001,273.6029805270921,162,175,"('V002', 'V007')",23,"('V002_25_dep', 'V007_63_arr')",0.6638316265758919,False
AC002,261.32683479738034,149,180,"('V007', 'V002')",21,"('V007_22_dep', 'V002_60_arr')",2.7053646614948104,False
AC003,291.4916729942068,168,168,"('V001', 'V003')",23,"('V001_24_dep', 'V003_28_arr')",3.536789428750524,False
AC008,187.19345142501498,69,171,"('V003', 'V006')",22,"('V003_25_dep', 'V006_47_arr')",0.8499723475873238,False
AC011,315.08644369091166,175,160,"('V004', 'V001')",21,"('V004_21_dep', 'V001_29_arr')",2.817732398313551,False
AC006,189.0875886837695,81,189,"('V005', 'V004')",24,"('V005_25_dep', 'V004_53_arr')",1.733879150543224,False
AC007,235.11135075446055,123,158,"('V003', 'V007')",39,"('V003_42_dep', 'V007_86_arr')",1.9252244166919283,False
AC009,247.11306935492087,121,169,"('V002', 'V006')",33,"('V002_33_dep', 'V006_57_arr')",13.978115543086485,False
AC010,296.2404656754402,174,167,"('V004', 'V002')",35,"('V004_37_dep', 'V002_46_arr')",3.487352671718315,False
AC012,225.4515456402077,116,150,"('V005', 'V003')",30,"('V005_30_dep', 'V003_54_arr')",1.7582556224801236,False
